epoch,learning_rate,loss,unet3plus_output_sup0_activation_accuracy,val_loss,val_unet3plus_output_sup0_activation_accuracy
0,9.999999747378752e-05,0.5479823350906372,0.6784354448318481,0.6166113615036011,0.6423225402832031
1,9.999999747378752e-05,0.5080305337905884,0.6937001943588257,0.64452064037323,0.6423225402832031
2,9.999999747378752e-05,0.4797011911869049,0.7006173729896545,0.6942612528800964,0.6423184871673584
3,9.999999747378752e-05,0.4500197172164917,0.7093258500099182,0.6298269033432007,0.639738142490387
4,9.999999747378752e-05,0.4120391309261322,0.7830665707588196,0.5325784087181091,0.8291025161743164
5,9.999999747378752e-05,0.3574922978878021,0.8998699188232422,0.3723180592060089,0.8936066031455994
6,9.999999747378752e-05,0.30465590953826904,0.9106845259666443,0.28706690669059753,0.9160182476043701
7,9.999999747378752e-05,0.26908841729164124,0.9151902794837952,0.2599762976169586,0.9182931780815125
8,9.999999747378752e-05,0.24474862217903137,0.9191491603851318,0.25745365023612976,0.9172515869140625
9,9.999999747378752e-05,0.2274247109889984,0.9217439293861389,0.24962756037712097,0.9164112210273743
10,9.999999747378752e-05,0.21025703847408295,0.9253481030464172,0.23596470057964325,0.9208306670188904
11,9.999999747378752e-05,0.19739164412021637,0.9281269311904907,0.23862068355083466,0.9194815754890442
12,9.999999747378752e-05,0.18384653329849243,0.9315013289451599,0.2398110181093216,0.9207234382629395
13,9.999999747378752e-05,0.18213671445846558,0.9315958619117737,0.22932493686676025,0.9216963648796082
14,9.999999747378752e-05,0.16571690142154694,0.93648761510849,0.30994850397109985,0.9069780111312866
15,9.999999747378752e-05,0.15246137976646423,0.9407461881637573,0.25670957565307617,0.9182159304618835
16,9.999999747378752e-05,0.14373601973056793,0.9437373280525208,0.26952382922172546,0.915879487991333
17,9.999999747378752e-05,0.13419294357299805,0.9472245573997498,0.2566160559654236,0.9208754301071167
18,9.999999747378752e-05,0.12970800697803497,0.9487826824188232,0.2291444092988968,0.9222987294197083
19,9.999999747378752e-05,0.1257724165916443,0.9500049948692322,0.24876347184181213,0.9190436601638794
