epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7634879946708679,9.999999747378752e-05,0.5132989883422852,0.8520165085792542,0.44508519768714905
1,0.91843581199646,9.999999747378752e-05,0.2815554440021515,0.9106660485267639,0.333615243434906
2,0.9331835508346558,9.999999747378752e-05,0.218246728181839,0.9275220036506653,0.25051194429397583
3,0.9418408870697021,9.999999747378752e-05,0.1799214780330658,0.9436647295951843,0.17718786001205444
4,0.9469490051269531,9.999999747378752e-05,0.15602195262908936,0.9455834031105042,0.16165141761302948
5,0.9512931704521179,9.999999747378752e-05,0.13907654583454132,0.9472704529762268,0.14809651672840118
6,0.9554438591003418,9.999999747378752e-05,0.1250644028186798,0.9472275972366333,0.1508636474609375
7,0.9571684002876282,9.999999747378752e-05,0.11726751178503036,0.9500300884246826,0.13560621440410614
8,0.9604881405830383,9.999999747378752e-05,0.10703103989362717,0.950043797492981,0.13487020134925842
9,0.9616173505783081,9.999999747378752e-05,0.10261206328868866,0.9518036842346191,0.12894253432750702
10,0.963722288608551,9.999999747378752e-05,0.09585436433553696,0.95173579454422,0.1299266368150711
11,0.9655733108520508,9.999999747378752e-05,0.0907556414604187,0.952735424041748,0.12859457731246948
12,0.966788113117218,9.999999747378752e-05,0.08671730756759644,0.9522245526313782,0.12777358293533325
13,0.9683882594108582,9.999999747378752e-05,0.08232187479734421,0.953667163848877,0.1281815767288208
14,0.96992427110672,9.999999747378752e-05,0.07806725800037384,0.9539095759391785,0.13020078837871552
15,0.9706079363822937,9.999999747378752e-05,0.07584700733423233,0.953885018825531,0.12913653254508972
16,0.9707341194152832,9.999999747378752e-05,0.0750778391957283,0.95428466796875,0.1347550004720688
17,0.9722769856452942,9.999999747378752e-05,0.07083792984485626,0.9553812742233276,0.12653209269046783
18,0.9732393026351929,9.999999747378752e-05,0.06792771071195602,0.955377995967865,0.12889936566352844
19,0.9739686846733093,9.999999747378752e-05,0.06585776805877686,0.9551967978477478,0.13168570399284363
20,0.9746842384338379,9.999999747378752e-05,0.06402692943811417,0.9559459090232849,0.12725922465324402
21,0.9751285314559937,9.999999747378752e-05,0.06270352751016617,0.9552080035209656,0.1353248804807663
22,0.9760319590568542,9.999999747378752e-05,0.06026686728000641,0.955703854560852,0.13281702995300293
23,0.9768841862678528,9.999999747378752e-06,0.057864803820848465,0.9560245871543884,0.13181215524673462
24,0.9773828387260437,9.999999747378752e-06,0.05684909597039223,0.9561499357223511,0.13121792674064636
25,0.9774506688117981,9.999999747378752e-06,0.05659610778093338,0.9561606049537659,0.1324206441640854
26,0.9777387380599976,9.999999747378752e-06,0.05582382157444954,0.956097424030304,0.1322873830795288
27,0.9778435230255127,9.999999747378752e-06,0.05552004650235176,0.9561768174171448,0.13331760466098785
28,0.977834165096283,9.999999974752427e-07,0.055625058710575104,0.9561838507652283,0.1332249641418457
29,0.9778992533683777,9.999999974752427e-07,0.05536547675728798,0.9561812877655029,0.13334552943706512
30,0.9778830409049988,9.999999974752427e-07,0.05539941042661667,0.9561905264854431,0.1332893669605255
31,0.9778915047645569,9.999999974752427e-07,0.05536522716283798,0.9562245607376099,0.13321010768413544
32,0.977905809879303,9.999999974752427e-07,0.05523969233036041,0.9562238454818726,0.13325056433677673
33,0.9779400825500488,1.0000000116860974e-07,0.05524680018424988,0.9562139511108398,0.13325756788253784
34,0.9780234694480896,1.0000000116860974e-07,0.05505477637052536,0.956208348274231,0.13327506184577942
35,0.9780360460281372,1.0000000116860974e-07,0.054856494069099426,0.9561808109283447,0.1331615298986435
36,0.977920413017273,1.0000000116860974e-07,0.05530252680182457,0.9561868906021118,0.13331863284111023
37,0.9779596328735352,1.0000000116860974e-07,0.0552230104804039,0.9561930894851685,0.1333319991827011
38,0.9781251549720764,9.99999993922529e-09,0.05473494157195091,0.9562169313430786,0.13328447937965393
39,0.9781500697135925,9.99999993922529e-09,0.05472172051668167,0.9562082290649414,0.13327355682849884
40,0.9779505133628845,9.99999993922529e-09,0.05520922318100929,0.9561986327171326,0.13330183923244476
41,0.9780077338218689,9.99999993922529e-09,0.0551026314496994,0.9561958909034729,0.1332574486732483
