epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8637963533401489,9.999999747378752e-05,0.38714146614074707,0.902376115322113,0.42839211225509644
1,0.9324404001235962,9.999999747378752e-05,0.22382444143295288,0.9235382080078125,0.2552112638950348
2,0.9456310868263245,9.999999747378752e-05,0.1711650788784027,0.9397624135017395,0.18276837468147278
3,0.9535043835639954,9.999999747378752e-05,0.14071029424667358,0.9444142580032349,0.15653344988822937
4,0.9591106176376343,9.999999747378752e-05,0.12016045302152634,0.9479290843009949,0.1432710736989975
5,0.9634803533554077,9.999999747378752e-05,0.1049916222691536,0.9493840336799622,0.1382153332233429
6,0.9669220447540283,9.999999747378752e-05,0.0934445858001709,0.9501007199287415,0.13458891212940216
7,0.9698145985603333,9.999999747378752e-05,0.08425258845090866,0.9497363567352295,0.13744066655635834
8,0.9721742868423462,9.999999747378752e-05,0.07666481286287308,0.9495751261711121,0.13715605437755585
9,0.9743147492408752,9.999999747378752e-05,0.07022842764854431,0.9500774145126343,0.14214079082012177
10,0.9756298661231995,9.999999747378752e-05,0.06599722057580948,0.9511706233024597,0.13627631962299347
11,0.9766848087310791,9.999999747378752e-05,0.06233382225036621,0.9518231749534607,0.13910646736621857
12,0.9784620404243469,9.999999747378752e-06,0.057533543556928635,0.95351642370224,0.13375329971313477
13,0.9793130159378052,9.999999747378752e-06,0.055367834866046906,0.9536094665527344,0.1340169757604599
14,0.9798579216003418,9.999999747378752e-06,0.05408195033669472,0.9535150527954102,0.13527122139930725
15,0.9800335764884949,9.999999747378752e-06,0.05362542346119881,0.9534976482391357,0.13548949360847473
16,0.9804674386978149,9.999999747378752e-06,0.05240656062960625,0.9534884095191956,0.13639914989471436
17,0.9806216955184937,9.999999747378752e-06,0.051981739699840546,0.9535620808601379,0.13670195639133453
18,0.9809045791625977,9.999999974752427e-07,0.051149606704711914,0.9533733129501343,0.13794808089733124
19,0.9810615181922913,9.999999974752427e-07,0.05086272954940796,0.9533747434616089,0.1382160484790802
20,0.9811131358146667,9.999999974752427e-07,0.050683941692113876,0.9534093737602234,0.13816311955451965
21,0.9811071753501892,9.999999974752427e-07,0.050692781805992126,0.9534168243408203,0.1380811333656311
22,0.9811874032020569,9.999999974752427e-07,0.050488702952861786,0.9534969925880432,0.13794109225273132
23,0.9812827706336975,1.0000000116860974e-07,0.05026568844914436,0.9534603953361511,0.13810370862483978
